bid,ask,spread,time
31.7642,3.7008,28.063399999999998,1659983501.836289
28.2049,0.4467,27.7582,1659983503.9674308
18.7404,5.2901,13.450300000000002,1659983505.809
0.8976,6.1798,-5.2822000000000005,1659983507.4603622
9.4058,20.0777,-10.6719,1659983509.0204628
2.8006,11.0501,-8.249500000000001,1659983510.579561
11.2605,7.5246,3.7359,1659983512.3851502
11.8622,3.1389,8.7233,1659983513.9780643
17.8867,7.854,10.032700000000002,1659983515.6166203
11.1696,6.4188,4.750800000000001,1659983517.1739204
1.5226,22.5928,-21.0702,1659983518.7570734
1.7154,30.8273,-29.111900000000002,1659983520.366382
22.8972,0.152,22.7452,1659983522.5533128
31.6044,0.3159,31.2885,1659983524.1197789
27.2044,0.3362,26.868199999999998,1659983525.6839564
33.1452,0.3353,32.809900000000006,1659983527.2562199
0.4713,32.5219,-32.0506,1659983528.8395588
5.3321,19.0261,-13.693999999999999,1659983530.4152076
3.3203,26.9256,-23.6053,1659983531.997079
12.5285,4.1547,8.3738,1659983533.6148956
16.8297,7.2572,9.572499999999998,1659983535.190738
14.9425,2.2136,12.728900000000001,1659983536.7694058
18.4953,1.6538,16.8415,1659983538.365968
0.6299,20.6435,-20.0136,1659983539.9117053
6.1127,12.6585,-6.5458,1659983541.581636
16.3472,2.9484,13.398800000000001,1659983543.127851
21.5069,1.3386,20.168300000000002,1659983544.7002378
33.503,0.4708,33.0322,1659983546.4214525
3.0769,19.9608,-16.883899999999997,1659983547.9808486
3.0347,33.6816,-30.646900000000002,1659983549.538621
0.1798,35.1946,-35.0148,1659983551.125477
24.9172,6.5542,18.363,1659983552.702843
43.5935,0.6538,42.9397,1659983554.6296883
6.3789,14.6828,-8.3039,1659983556.1959784
6.8923,14.6838,-7.7915,1659983557.7694404
2.1936,21.8622,-19.6686,1659983559.5314314
2.6645,17.6449,-14.9804,1659983561.1406589
22.1583,0.4342,21.7241,1659983562.7650697
25.6359,0.2832,25.3527,1659983564.3248937
20.9161,8.1773,12.7388,1659983565.8917596
3.5126,9.3213,-5.808700000000001,1659983567.434703
2.7055,29.2857,-26.580199999999998,1659983569.0486948
16.1618,1.1751,14.986699999999999,1659983570.6458492
43.7849,0.2822,43.5027,1659983572.2115755
14.5068,7.7497,6.7571,1659983573.797633
5.6194,11.5008,-5.8814,1659983575.6358173
4.2336,11.4406,-7.207,1659983577.205632
21.3238,2.0045,19.3193,1659983578.7683601
1.151,0.4333,0.7177,1659983580.3731174
1.194,33.962,-32.768,1659983582.148799
1.2454,33.2665,-32.021100000000004,1659983583.726891
0.2888,36.1675,-35.878699999999995,1659983585.2848215
10.4371,5.3755,5.061599999999999,1659983586.8518283
9.4482,5.0257,4.4225,1659983588.4365215
19.8271,1.4712,18.355900000000002,1659983590.0128903
24.8942,1.3138,23.5804,1659983591.5758286
0.0021,23.4465,-23.4444,1659983593.173255
0.3693,37.9259,-37.556599999999996,1659983594.7494783
8.4232,16.3702,-7.947000000000001,1659983596.322748
27.1767,6.0861,21.090600000000002,1659983597.9104118
15.8486,0.0541,15.7945,1659983599.6118486
22.1331,3.955,18.1781,1659983601.3795953
22.153,1.4328,20.7202,1659983603.017512
38.4159,0.5394,37.8765,1659983604.640818
1.0352,26.7239,-25.6887,1659983606.2051532
8.6027,5.1909,3.4118000000000004,1659983607.831801
4.2967,13.9787,-9.681999999999999,1659983609.3876748
3.4592,14.5676,-11.1084,1659983610.952761
0.4521,21.2413,-20.789199999999997,1659983612.5203547
0.6362,3.5841,-2.9478999999999997,1659983614.1013641
14.5061,5.3512,9.1549,1659983615.8996964
10.2898,6.6868,3.6029999999999998,1659983617.481801
10.3408,14.5046,-4.1638,1659983619.0341942
1.8319,13.7363,-11.904399999999999,1659983621.178471
0.2931,19.3061,-19.013,1659983622.7683928
2.3991,17.8748,-15.4757,1659983624.5509448
1.9474,29.3323,-27.384900000000002,1659983626.1160388
7.4099,8.2511,-0.8411999999999988,1659983627.699515
3.7521,11.6648,-7.912699999999999,1659983629.248176
26.6581,0.346,26.3121,1659983630.9637077
25.9166,2.1114,23.8052,1659983632.51223
27.9999,0.4732,27.5267,1659983634.0938222
29.8097,1.7849,28.0248,1659983635.780309
5.294,9.2994,-4.005400000000001,1659983637.7190514
0.5986,15.7039,-15.105300000000002,1659983639.355375
2.1899,24.6486,-22.458699999999997,1659983640.9904325
2.2509,18.7616,-16.5107,1659983643.1235144
0.0169,27.8607,-27.8438,1659983645.2837968
0.9303,19.4457,-18.5154,1659983646.855341
5.634,11.2211,-5.5870999999999995,1659983648.431051
6.975,17.3853,-10.410300000000001,1659983650.035574
7.3557,16.8743,-9.518600000000003,1659983651.6123922
5.1049,12.9161,-7.8112,1659983653.186136
0.63,0.1744,0.4556,1659983654.783472
7.6498,9.6831,-2.0332999999999997,1659983656.5284247
